Model Size,Model Type,Value,value
0.56,bloom-seen 0s,0,0.178924339941289
1.1,bloom-seen 0s,0,0.0909098993132607
1.7,bloom-seen 0s,0,0.17448296200301
3.0,bloom-seen 0s,0,0.106718581102215
7.1,bloom-seen 0s,0,0.123711158975072
0.56,bloom-seen 0s,1,0.272414369454325
1.1,bloom-seen 0s,1,0.134261883029665
1.7,bloom-seen 0s,1,0.47329941150997
3.0,bloom-seen 0s,1,0.265605144121768
7.1,bloom-seen 0s,1,0.436821867888111
0.56,bloom-seen 0s,2,0.250309998418017
1.1,bloom-seen 0s,2,0.0756603542317828
1.7,bloom-seen 0s,2,0.204438422609105
3.0,bloom-seen 0s,2,0.302726341702672
7.1,bloom-seen 0s,2,0.127795875621963
0.56,bloom-seen 0s,3,0.167504900646938
1.1,bloom-seen 0s,3,0.14196462378969
1.7,bloom-seen 0s,3,0.153361036837008
3.0,bloom-seen 0s,3,0.146315119512443
7.1,bloom-seen 0s,3,0.104498796358221
0.56,bloom-seen 0s,4,0.375831301839431
1.1,bloom-seen 0s,4,0.313268849597476
1.7,bloom-seen 0s,4,0.396536796536797
3.0,bloom-seen 0s,4,0.335047320055236
7.1,bloom-seen 0s,4,0.504808654295896
0.56,bloom-seen 0s,5,0.397680560895982
1.1,bloom-seen 0s,5,0.230091358317165
1.7,bloom-seen 0s,5,0.147126544350304
3.0,bloom-seen 0s,5,0.275864124188488
7.1,bloom-seen 0s,5,0.186266385541663
0.56,bloom-seen 0s,6,0.559392789373814
1.1,bloom-seen 0s,6,0.461064728921872
1.7,bloom-seen 0s,6,0.597213782429593
3.0,bloom-seen 0s,6,0.647926688037922
7.1,bloom-seen 0s,6,0.469410391121946
0.56,bloom-seen 0s,7,0.566634907645865
1.1,bloom-seen 0s,7,0.362485516546169
1.7,bloom-seen 0s,7,0.205074455710699
3.0,bloom-seen 0s,7,0.183392123189051
7.1,bloom-seen 0s,7,0.478129555462423
0.56,bloom-seen 0s,8,0.130404793130135
1.1,bloom-seen 0s,8,0.12483601609658
1.7,bloom-seen 0s,8,0.0736928451214166
3.0,bloom-seen 0s,8,0.100223914017018
7.1,bloom-seen 0s,8,0.104134340893897
0.56,bloom-seen 0s,9,0.153388709617462
1.1,bloom-seen 0s,9,0.18416116047695
1.7,bloom-seen 0s,9,0.141239201881034
3.0,bloom-seen 0s,9,0.196649749250986
7.1,bloom-seen 0s,9,0.174115641807335
0.56,bloom-seen 0s,10,0.146262128039622
1.1,bloom-seen 0s,10,0.123961370049788
1.7,bloom-seen 0s,10,0.0618321814013594
3.0,bloom-seen 0s,10,0.156052682789488
7.1,bloom-seen 0s,10,0.0780134713984116
0.56,bloom-seen 0s,11,0.429539494563663
1.1,bloom-seen 0s,11,0.42933450475142
1.7,bloom-seen 0s,11,0.51157033556828
3.0,bloom-seen 0s,11,0.412087936598919
7.1,bloom-seen 0s,11,0.385244656472024
0.56,bloom-seen 0s,12,0.094952585605284
1.1,bloom-seen 0s,12,0.0906307977736549
1.7,bloom-seen 0s,12,0.079575935484575
3.0,bloom-seen 0s,12,0.174262613909484
7.1,bloom-seen 0s,12,0.0245636716224951
